word2,he,she,total,logratio,freq
casts,1.4499947019424352e-4,2.396894458484225e-4,96,0.7251187558952878,1.6530367009433262
applies,9.480734589623615e-5,1.5631920381418857e-4,62,0.7214242723375464,1.6488089855956451
hisses,9.480734589623615e-5,1.5631920381418857e-4,62,0.7214242723375464,1.6488089855956451
fiddles,9.201889454634685e-5,1.5110856368704895e-4,60,0.7155833937484859,1.64214713110839
kisses,0.0032373920172214755,0.005278378448792434,2172,0.7052627199149388,1.630441546996417
sings,4.963443402802952e-4,8.076492197066409e-4,331,0.7023874922872068,1.6271953846608704
awkwardly,6.413438104745386e-5,1.0421280254279238e-4,41,0.7003626568097168,1.6249132031957083
smokes,1.924031431423616e-4,3.1263840762837714e-4,127,0.7003626568097165,1.624913203195708
stretches,2.9278739173837636e-4,4.7416825156970535e-4,194,0.6955456405119409,1.6194968258517226
sips,4.29421507882952e-4,6.930151369095694e-4,285,0.6904924127856554,1.6138342495375557
unbuttons,1.2269185939512914e-4,1.9800432483130551e-4,80,0.6904924127856553,1.6138342495375555
stiffens,1.1990340804523983e-4,1.9279368470416592e-4,78,0.6851851289062192,1.6079082975808696
hurriedly,9.759579724612544e-5,1.5631920381418857e-4,63,0.6796040966429193,1.6017001574357697
hurries,0.0011404766021047231,0.001818513404371727,756,0.6731227112472705,1.594520572377989
dries,1.3105721344479704e-4,2.0842560508558476e-4,85,0.669335761189092,1.5903405818511185
look,1.2269185939512914e-4,1.9279368470416592e-4,79,0.6520182649710197,1.5713649271813042
locates,6.971128374723247e-5,1.09423442669932e-4,44,0.6504577509834026,1.569666154287054
threw,6.971128374723247e-5,1.09423442669932e-4,44,0.6504577509834026,1.569666154287054
smooths,8.644199184656825e-5,1.354766433056301e-4,55,0.6482399257335844,1.5672549927597317
nods,0.0050387315892499625,0.007847224031472266,3311,0.6391217817866957,1.5573808392997492
stubs,6.692283239734316e-5,1.0421280254279238e-4,42,0.6389621121455733,1.557208486395887
instantly,1.3105721344479704e-4,2.0321496495844514e-4,84,0.632809885163978,1.5505820673048405
reappears,9.759579724612544e-5,1.5110856368704895e-4,62,0.6306944961619729,1.5483101521879106
wraps,4.935558889304059e-4,7.607534585623844e-4,321,0.6242155267763869,1.5413724678901661
clearly,1.4221101884435422e-4,2.18846885339864e-4,91,0.6218885987866319,1.5388883865559355
refuses,1.2548031074501842e-4,1.9279368470416592e-4,80,0.6195967872786424,1.5364457065772754
tiptoes,9.201889454634685e-5,1.406872834327697e-4,58,0.6124899007843821,1.5288956048250526
lingers,7.528818644701106e-5,1.1463408279707162e-4,47,0.606540634453196,1.5226038533648674
beams,1.896146917924723e-4,2.8658520699267903e-4,121,0.5958933902536874,1.511408236796008
pivots,7.249973509712176e-5,1.09423442669932e-4,45,0.5938742226170353,1.5092943791221674
curls,8.644199184656825e-5,1.302660031784905e-4,54,0.5916563973672168,1.506975954576665
glides,1.1432650534546124e-4,1.7195112419560743e-4,72,0.588838632719737,1.5040355136896861
strokes,4.099023484337269e-4,6.096448948753354e-4,262,0.5726888927264073,1.4872930033332146
meant,8.086508914678966e-5,1.1984472292421124e-4,50,0.5675774789088078,1.4820329042940166
abruptly,1.4778792154413283e-4,2.18846885339864e-4,93,0.5663934861949282,1.4808171266859
retrieves,1.4778792154413283e-4,2.18846885339864e-4,93,0.5663934861949282,1.4808171266859
bursts,3.624986754856088e-4,5.366959330953808e-4,231,0.5661292321341312,1.4805459147579358
rakes,6.692283239734316e-5,9.900216241565276e-5,41,0.5649615307017967,1.4793480620760928
relents,6.692283239734316e-5,9.900216241565276e-5,41,0.5649615307017967,1.4793480620760928
reluctantly,1.2826876209490773e-4,1.875830445770263e-4,80,0.5483595633646667,1.4624218828761375
frantically,1.645186296434686e-4,2.396894458484225e-4,103,0.542915424674539,1.4569137025263217
