word2,total,female_he,female_she,male_he,male_she,female_ratio,female_logratio,male_ratio,male_logratio
marches,59,5.448106782892945e-4,6.328223878498101e-4,5.11485166930159e-4,3.1010396235337895e-4,1.1615454928983264,0.21604565960821087,0.6062814376701606,-0.7219404423168682
lets,330,0.0037358446511265905,0.004324286316973703,0.0036113952695371833,0.00398483591624092,1.157512348825763,0.2110275848415866,1.1034061958971317,0.1419639866938212
left,94,7.004708720862357e-4,8.086063844747574e-4,7.517281998822035e-4,6.977339152951027e-4,1.1543754589915467,0.2071125348382032,0.9281731288043182,-0.10753416370322982
rips,160,0.001712262131766354,0.0019687807621994093,0.001821197185281627,0.0011396320616486677,1.1498127101417777,0.20139888364380945,0.6257598413059468,-0.6763190195744122
trails,61,7.39385920535471e-4,8.437631837997469e-4,4.6111162776279487e-4,7.132391134127716e-4,1.1411675017948473,0.19051056750107362,1.5467818863584941,0.6292697749032925
waits,277,0.003268864069735767,0.003726620728448882,0.0027124213397811464,0.0027521726658862383,1.140035391177987,0.18907861200794146,1.0146552917579903,0.020989684713938566
starts,663,0.013970502393275479,0.015926030094220223,0.014081341641092409,0.015350146136492259,1.1399754744601032,0.18900278644668644,1.0901053697679775,0.12446759288707926
slips,258,0.0027629684398957077,0.003128955139924061,0.002720171115037664,0.0030467714301219482,1.1324614116989944,0.17946189168521842,1.1200660919008996,0.16358386410826897
leans,493,0.008055415028991712,0.009105611025172268,0.005982826498031557,0.007054865143539372,1.1303714324340666,0.1767969104107314,1.1791859827224693,0.2377912799722013
gently,125,9.339611627816476e-4,0.0010547039797496837,8.83474379243002e-4,0.0011318794625898333,1.1292803403178175,0.1754036751108652,1.2811684064451028,0.35746012686949863
gives,479,0.006615558236370004,0.007453241456897764,0.005486840881614433,0.00781461985130515,1.1266232101053049,0.17200509864900004,1.4242475806963437,0.5101999555711422
cuts,131,0.0012841965988247656,0.0014414287723245676,0.0013484608946340555,0.001193900255060509,1.1224362170431639,0.16663346548313282,0.8853799615631486,-0.17563137299960369
looks,905,0.07393859205354711,0.08275910561102517,0.07393673083480579,0.0788206746311701,1.1192951246771126,0.16259048204363677,1.0660557173845884,0.09228284250026628
goes,675,0.012258240261509125,0.013711151736745886,0.0152476828171983,0.014753196008962004,1.1185252894576478,0.16159787558583472,0.967569707858918,-0.04756249196660365
licks,64,8.172160174339417e-4,9.140767824497258e-4,4.06863200967172e-4,6.667235190597648e-4,1.1185252894576478,0.16159787558583472,1.6386921143884916,0.7125448191901985
picks,587,0.008872631046425652,0.009879060610322036,0.009156359465575498,0.009380644861189714,1.113430791681778,0.15501188627968734,1.0244950404642201,0.03491300034233338
hangs,397,0.005759427170486827,0.006398537477148081,0.004967605939427757,0.005783438897890518,1.1109676861505016,0.1518168547932493,1.1642306109644318,0.21937685579071978
eats,108,8.56131065883177e-4,9.492335817747153e-4,9.144734802690722e-4,5.969501275302545e-4,1.1087479704938572,0.14893146374967411,0.652780141152491,-0.6153309265127166
squeezes,96,8.56131065883177e-4,9.492335817747153e-4,8.253510648191202e-4,9.070540898836335e-4,1.1087479704938572,0.14893146374967411,1.098991845466897,0.13618068151178941
surveys,59,3.5023543604311786e-4,3.86724792574884e-4,6.083573576366286e-4,3.1010396235337895e-4,1.1041852216440884,0.1429821974184879,0.5097398074679058,-0.9721670718500416
