word2,total,female,male,female_writer_ratio,female_logratio
makes,2603,0.006240104312191488,0.005832731645524085,1.0698425182958677,0.09739844635106322
drags,418,0.001005867560771165,9.404316221417688e-4,1.0695807511027442,0.09704540706363185
jumps,1565,0.0037440625873148923,0.003509916928540044,1.0667097437181345,0.09316766607304384
reaches,6545,0.015609574369004377,0.014669191614227754,1.0641059698112156,0.0896418298883791
senses,303,7.26459905001397e-4,6.834830915019413e-4,1.062879117323905,0.08797752654526449
squeezes,375,8.941044984632579e-4,8.453606658050326e-4,1.0576603982535748,0.08087647017012049
breaks,721,0.0017137002887212443,0.0016213452283373117,1.0569619959832013,0.07992350425866955
cuts,572,0.0013597839247462048,0.001287312138505536,1.056296980408188,0.07901550886901464
seems,1801,0.004265623544751793,0.004044369872270886,1.0547065870502776,0.07684170577366325
looks,33498,0.07922138399925491,0.07514973675623036,1.0541804591575896,0.07612185487527864
slips,1251,0.002961721151159542,0.0028110169251997132,1.0536119952209544,0.0753436756760047
leads,771,0.0018254633510291515,0.0017344025818188359,1.052502671620116,0.07382389536122073
sips,306,7.26459905001397e-4,6.91191547421136e-4,1.0510254468704785,0.07179759948982996
hops,322,7.637142591040328e-4,7.271643417107119e-4,1.050263627211607,0.07075150497040708
bends,837,0.0019744807674396945,0.0018834327295899358,1.048341539583196,0.0681088096135932
starts,6422,0.015106640588618795,0.01442252102481352,1.0474341179762032,0.06685950343953853
hands,3344,0.007860668715656141,0.007513175035908557,1.0462512423957606,0.0652293359389533
did,774,0.0018068361739778337,0.001744680523044429,1.035625806623292,0.05050282112660159
leaves,1798,0.004191114836546521,0.004046939357577284,1.035625806623292,0.05050282112660159
takes,11551,0.026879016485051692,0.025977496447686564,1.0347038845402445,0.049217950885026854
listens,911,0.0021234981838502377,0.002053018759812222,1.0343296541744518,0.04869606442097057
watches,3382,0.007860668715656141,0.007610815477551692,1.03282870788832,0.046601006602542884
puts,5175,0.012014529198100027,0.011644907408596984,1.031741067278059,0.04508094767430648
grips,271,6.333240197448077e-4,6.141069882291878e-4,1.0312926442524832,0.0444537764537966
picks,4078,0.009462605942069479,0.009178201514454639,1.030986945227443,0.04402606483514868
rolls,922,0.0021421253609015555,0.002078713612876205,1.0305052834755872,0.04335190169860342
gently,424,9.872403837198473e-4,9.584180192865567e-4,1.030072853236572,0.04274637749216716
