word2,total,female_he,female_she,male_he,male_she,female_ratio,male_ratio,self_ratio,self_logratio
breathes,90,7.032623559288923e-4,0.0013792615645777339,5.767567047966932e-4,7.344982217411473e-4,1.961233319187061,0.7852390757726768,1.5400370389330271,0.6229650491295327
emerges,72,2.7349091619456925e-4,6.719479417173575e-4,4.537152744400654e-4,7.267666615122932e-4,2.4569296526079665,0.6242929105965751,1.5338437639576596,0.6171515386148493
throws,393,0.004961906622387185,0.005799971707455086,0.0053215418629241566,0.004082263800835009,1.1688998098607317,1.3035761828610046,1.5237499522852067,0.6076261756688529
punches,121,0.0011330337956632155,8.841420285754703e-4,0.0014342016725944439,7.344982217411473e-4,0.7803315593582469,1.9526278350880566,1.523697123400581,0.6075761561161059
finds,462,0.005352607931236569,0.006754845098316593,0.006944150725752187,0.005752280810267512,1.261972702857031,1.2071995361139622,1.5234528614774907,0.6073448609927127
can,720,0.013791756202383277,0.0178596689772245,0.018963760453715273,0.01625173960105149,1.294952485756547,1.1668757264907392,1.5110486225881594,0.5955500843533013
may,88,5.079117015042e-4,6.719479417173575e-4,7.151783139478996e-4,6.262563785371888e-4,1.322962120635059,1.1419896682224855,1.5108090732149468,0.5953213530705637
gathers,89,3.907013088493846e-4,0.001167067477719621,4.767855426319331e-4,9.432503479202103e-4,2.98710920922337,0.505470836754215,1.5098965914623583,0.5944497468397439
knocks,195,0.001172103926548154,0.0018036497382939594,0.0017110448908968566,0.0017859904128653163,1.538813835054463,0.9580369964874434,1.474240584688902,0.5599719803453431
paces,74,7.423324868138308e-4,6.012165794313199e-4,8.151494761126599e-4,4.63893613731251e-4,0.8099020184497174,1.757190554006857,1.4231521764909307,0.5090899363060983
struggles,231,0.0012893143192029694,0.0022280379120101852,0.0021801403441315003,0.0026519251584969845,1.7280797078151724,0.8220972364722107,1.4206495521985585,0.5065507124555431
has,776,0.017737839421762065,0.019804781440090537,0.02430068249543401,0.01918973248801608,1.11652727083506,1.2663377413212873,1.4139006222728911,0.4996807221328239
freezes,148,0.0010548935338933385,0.0020512095062950914,0.0010727674709218496,0.0014767280037111489,1.9444706412452912,0.7264489250734661,1.4125586071695553,0.4983107263022065
wakes,83,3.5163117796444617e-4,8.134106662894328e-4,6.075170623858502e-4,9.973712695221897e-4,2.313249555964226,0.6091182701471772,1.4090425679476553,0.4947151969132132
spits,82,4.2977143973432313e-4,8.841420285754703e-4,5.69066615399404e-4,8.350085047162517e-4,2.057237747399015,0.681509963294064,1.4020280217170655,0.4875151841475723
lays,151,9.767532721234617e-4,0.0016975526948649032,0.0011227530520042295,0.001399412401422607,1.7379544490026877,0.802303203017829,1.3943664211339424,0.4796097322879069
could,212,0.0017190857589372925,0.00208657518743811,0.001999423243295203,0.0017473326117210452,1.2137702709654188,1.144271691538945,1.3888829610972835,0.47392503088247445
might,173,0.0013674545809728462,0.0014146272457207527,0.0016649043545131212,0.0012447811968455235,1.0344966958349333,1.3375076348616588,1.3836472289183825,0.46847616409916754
crawls,102,9.767532721234617e-4,0.0014146272457207527,9.305008170719985e-4,9.741765888356271e-4,1.4482953741689064,0.9551664736515261,1.3833631853507318,0.4681799684319793
dials,128,0.0012111740574330923,9.902390720045269e-4,0.0013573007786215514,8.04082263800835e-4,0.817586098321157,1.6880123337203026,1.380095417844373,0.46476801634548087
brings,164,0.001172103926548154,0.0017329183760079218,0.00142266653849851,0.0015385804855419824,1.4784681944640918,0.9246617592432025,1.3670830016782884,0.4511008380240166
saw,89,5.86051963274077e-4,7.78044985146414e-4,7.036431798519658e-4,6.881088603680223e-4,1.3276040929881643,1.0225753806972275,1.3575752608025695,0.44103217989108706
sticks,101,5.469818323891385e-4,6.719479417173575e-4,8.805152359896184e-4,8.04082263800835e-4,1.2284648263039832,1.0950561598355504,1.3452379751854864,0.427861410886497
catches,310,0.003125610470795077,0.0038902249257320694,0.0035066807651638952,0.003247255296118757,1.244628837176404,1.0798906908721386,1.3440630948578134,0.42660086468058006
jumps,300,0.003711662434069154,0.003784127882303013,0.003814284341055465,0.0028993350858203186,1.0195237173425855,1.3155720977923036,1.3412569555733929,0.423585652618495
pushes,439,0.004219574135573354,0.006118262837742255,0.005317696818225512,0.005837327972784908,1.4499716419630835,0.9109813330719042,1.3208970993119875,0.40151808195597255
tries,655,0.009572182066809924,0.013191399066346018,0.01103143324041142,0.011558682542137003,1.378097384094393,0.9543850002105774,1.3152354722091235,0.39532111448052804
considers,83,3.5163117796444617e-4,6.365822605743387e-4,7.228684033451888e-4,9.973712695221897e-4,1.8103692177111332,0.7247736378966412,1.3121078838565945,0.3918863457990468
manages,118,0.0010158234030084,0.0012377988400056586,0.0012842449293473037,0.0011983918354723983,1.2185177426901859,1.0716402526566469,1.3058126616431178,0.3849479355483529
straightens,69,6.251220941590154e-4,7.426793040033952e-4,5.806017494953379e-4,5.334776557909386e-4,1.188054799122931,1.0883337721699566,1.2930001610740798,0.37072245487033406
spots,309,0.003281890994334831,0.003218276984014712,0.004014226665384985,0.003046234730168548,0.9806166595935304,1.3177666926418627,1.2922239722620779,0.36985614407810763
shoots,146,0.0014455948427427232,0.001343895883434715,0.0016187638181293857,0.0011674655945569817,0.9296490577435549,1.386562332694402,1.2890163660920564,0.3662705811006164
drops,418,0.004258644266458293,0.003996321969161126,0.005882918388926271,0.00430647904747178,0.93840239266678,1.3660622341539028,1.2819160690617495,0.3583018074229073
changes,77,5.469818323891385e-4,5.658508982883011e-4,6.344323752763626e-4,5.180145353332302e-4,1.0344966958349333,1.2247385584812647,1.2669879920105076,0.34140285127510306
sees,828,0.027427231881226803,0.029105955580704484,0.03074113236566375,0.025792484923457554,1.0612064573905002,1.191863926910956,1.264813695568706,0.3389248945847594
cuts,131,0.0012893143192029694,0.0014499929268637715,0.0013380755551283283,0.0011906602752435442,1.1246233019114615,1.1238096902616752,1.263862564582182,0.3378395899581208
shouts,81,4.688415706192616e-4,4.243881737162258e-4,9.689512640584447e-4,6.958404205968764e-4,0.9051846088555666,1.3924906277035471,1.2604610841728778,0.3339515767149057
keeps,322,0.0033991013869896463,0.004385344461734333,0.003914255503220225,0.004012679758775321,1.2901481781389685,0.9754716893766935,1.258503022875483,0.33170868180062535
rises,184,0.0029693299472553234,0.003607299476587919,0.0023147169085840622,0.002242152466367713,1.2148530276745761,1.0323637412284918,1.2541702166928859,0.3267331648173413
loves,82,8.986130103535847e-4,0.0014146272457207527,5.613765260021147e-4,7.113035410545849e-4,1.5742341023575073,0.7892221725338425,1.2424204583394554,0.31315349119801755
now,106,8.595428794686463e-4,8.134106662894328e-4,0.0011265980967028741,8.582031854028143e-4,0.9463293638035468,1.3127405209689167,1.2422849020476516,0.3129960750365213
left,94,7.032623559288923e-4,8.134106662894328e-4,7.459386715370566e-4,6.958404205968764e-4,1.156624777982113,1.0719967530733656,1.2398980065210277,0.3102214500168176
drives,197,0.0019535065442469234,0.0016621870137218844,0.0021609151206382774,0.001484459563940003,0.8508735323242326,1.455691467204973,1.23860934067494,0.3087212309473463
slows,112,0.0014065247118577847,0.0014853586080067903,0.0012688647505527252,0.0010824184320395857,1.0560487103314944,1.172249763117782,1.2379528505269335,0.30795636818196115
pats,98,8.595428794686463e-4,0.0010609704342905645,6.728828222628088e-4,6.726457399103139e-4,1.2343426484394089,1.000352462430709,1.2347777078496056,0.30425134249948527
hurries,147,0.0010548935338933385,0.0023695006365822605,0.0010612323368259155,0.0019328900572135458,2.2461988441971465,0.5490391617802556,1.2332511306097802,0.3024666099550492
runs,534,0.007306114475483493,0.009053614372612817,0.008209170431606268,0.008249574764187414,1.2391832078450538,0.9951022526934907,1.2331140016265592,0.30230618334045495
brushes,84,7.423324868138308e-4,9.195077097184891e-4,6.997981351533211e-4,7.035719808257306e-4,1.2386736752760383,0.9946361626453908,1.2320296311464216,0.30103695424217025
crouches,68,6.251220941590154e-4,5.304852171452823e-4,6.382774199750072e-4,4.4069893304468844e-4,0.8486105708020937,1.4483298508696039,1.2290680214561658,0.29756476233536516
races,122,0.0013674545809728462,0.0016975526948649032,0.0012304143035662789,0.0012447811968455235,1.24139603500192,0.9884582982811335,1.2270682122509442,0.2952154500935986
checks,344,0.0040632936120336,0.0030414485782996182,0.004679419398250504,0.002868408844904902,0.7485180419382571,1.6313641643388685,1.221105509979171,0.28818786219859477
bends,173,0.0019144364133619847,0.0020512095062950914,0.0019648178410074015,0.0017241379310344827,1.0714430064004667,1.139594347784293,1.2210103940669819,0.28807548157434437
grips,75,7.814026176987692e-4,5.304852171452823e-4,7.228684033451888e-4,4.020411319004175e-4,0.678888456641675,1.7979961401666678,1.2206388246454378,0.28763638380236517
flips,238,0.0022269974604414923,0.0020158438251520723,0.002714601557243103,0.002017937219730942,0.9051846088555666,1.345235882811582,1.2176868164012746,0.2841431262459594
opens,679,0.010353584684508694,0.013651152921205263,0.012481015091800442,0.013522498840265965,1.3184953170499951,0.9229814133639046,1.216946671244494,0.2832659479885015
bolts,84,6.251220941590154e-4,8.134106662894328e-4,7.036431798519658e-4,7.5769290242771e-4,1.301202875229877,0.9286653967556454,1.2083820843849402,0.27307669977051074
say,81,5.469818323891385e-4,4.243881737162258e-4,6.498125540709411e-4,4.1750425235812584e-4,0.7758725218761999,1.5564214026580652,1.2075845987824054,0.2721242623269316
stands,625,0.010783356124243016,0.011210920922336965,0.01128905123522061,0.009726302767898562,1.039650438431937,1.1606724060122684,1.206693575786506,0.27105936886982557
frowns,82,4.688415706192616e-4,0.0010256047531475457,5.921368835912717e-4,0.0010746868718107315,2.1875294714009526,0.5509855001704682,1.2052970199374937,0.2693887119224734
lands,144,0.0017190857589372925,0.0012731645211486774,0.001910987215226377,0.0011751971547858358,0.7406055890636454,1.6260992527459184,1.2042981949558444,0.2681926604683795
breaks,200,0.0012502441883180308,0.0021573065497241476,0.0014149764491012207,0.0020411319004175043,1.7255081606309237,0.6932312648740602,1.1961762047446882,0.25842992380610924
clicks,142,0.0014846649736276617,0.0022634035931532043,0.001311160242237816,0.0016777485696613578,1.524521446493586,0.7814998420785212,1.1914132696800561,0.2526739326807713
ducks,126,7.032623559288923e-4,0.0010963361154335833,0.0012034989906757666,0.0015927014071439617,1.558929048584587,0.7556337837572992,1.177979455591138,0.23631437823862653
places,223,0.0025395585075210004,0.002546329042297355,0.0024723637412284918,0.0021107159424771918,1.0026660282707813,1.1713389241410006,1.174461746827427,0.23199972436661634
